Time_d	TIME	Height	Neck Radius	Neck_Height	Pinch_Diax	Pinch_Diay	Pinch_Dia_Avg	Pinch_Height
8.38582e-08	0.0001	3.49996	0.0918482	2.50667	3	1	-4.50433	-1.75216	8.00428
1.67716e-07	0.0002	3.49996	0.0929344	2.50667	3	1	-4.50433	-1.75216	8.00428
2.51575e-07	0.0003	3.49996	0.0939786	2.50667	3	1	-4.50433	-1.75216	8.00428
3.35433e-07	0.0004	3.49996	0.0948814	2.50667	3	1	-4.50433	-1.75216	8.00428
4.19291e-07	0.0005	3.49996	0.0954774	2.50667	3	1	-4.50433	-1.75216	8.00428
5.03149e-07	0.0006	3.49996	0.0960395	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
5.87007e-07	0.0007	3.49996	0.0979687	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
6.70866e-07	0.0008	3.49996	0.0987565	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
7.54724e-07	0.0009	3.49996	0.099276	2.50667	3	0.999999	-4.50432	-1.75216	8.00428
8.38582e-07	0.001	3.49996	0.0997455	2.50667	3	0.999998	-4.50432	-1.75216	8.00428
9.2244e-07	0.0011	3.49996	0.100371	2.50667	3	0.999998	-4.50432	-1.75216	8.00428
1.0063e-06	0.0012	3.49996	0.101113	2.50667	3	0.999997	-4.50432	-1.75216	8.00428
1.09016e-06	0.0013	3.49996	0.101881	2.50667	3	0.999997	-4.50432	-1.75216	8.00428
1.17401e-06	0.0014	3.49996	0.102641	2.50667	3	0.999996	-4.50433	-1.75216	8.00428
1.25787e-06	0.0015	3.49996	0.104572	2.50667	3	0.999995	-4.50433	-1.75216	8.00428
1.34173e-06	0.0016	3.49996	0.105411	2.50667	3	0.999995	-4.50433	-1.75217	8.00428
1.42559e-06	0.0017	3.49996	0.105959	2.50667	3	0.999994	-4.50433	-1.75217	8.00428
1.50945e-06	0.0018	3.49996	0.106393	2.50667	3	0.999993	-4.50433	-1.75217	8.00428
1.59331e-06	0.0019	3.49996	0.107172	2.50667	3	0.999992	-4.50433	-1.75217	8.00428
1.67716e-06	0.002	3.49996	0.108395	2.50667	3	0.999991	-4.50433	-1.75217	8.00428
1.76102e-06	0.0021	3.49995	0.109518	2.50667	3	0.99999	-4.50433	-1.75217	8.00428
