Time_d	TIME	Height	Neck Radius	Neck_Height	Pinch_Diax	Pinch_Diay	Pinch_Dia_Avg	Pinch_Height
8.38582e-08	0.0001	3.49996	0.0918142	2.50667	3	1	-4.50433	-1.75216	8.00428
1.67716e-07	0.0002	3.49996	0.0929114	2.50667	3	1	-4.50433	-1.75216	8.00428
2.51575e-07	0.0003	3.49996	0.0939408	2.50667	3	1	-4.50433	-1.75216	8.00428
3.35433e-07	0.0004	3.49996	0.0948537	2.50667	3	1	-4.50433	-1.75216	8.00428
4.19291e-07	0.0005	3.49996	0.095455	2.50667	3	1	-4.50433	-1.75216	8.00428
5.03149e-07	0.0006	3.49996	0.0960208	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
5.87007e-07	0.0007	3.49996	0.097957	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
6.70866e-07	0.0008	3.49996	0.0987483	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
7.54724e-07	0.0009	3.49996	0.0992692	2.50667	3	0.999999	-4.50432	-1.75216	8.00428
8.38582e-07	0.001	3.49996	0.09974	2.50667	3	0.999998	-4.50432	-1.75216	8.00428
9.2244e-07	0.0011	3.49996	0.100363	2.50667	3	0.999998	-4.50432	-1.75216	8.00428
1.0063e-06	0.0012	3.49996	0.101131	2.50667	3	0.999997	-4.50432	-1.75216	8.00428
1.09016e-06	0.0013	3.49996	0.101866	2.50667	3	0.999997	-4.50432	-1.75216	8.00428
1.17401e-06	0.0014	3.49996	0.102568	2.50667	3	0.999996	-4.50433	-1.75216	8.00428
1.25787e-06	0.0015	3.49996	0.103222	2.50667	3	0.999995	-4.50433	-1.75216	8.00428
1.34173e-06	0.0016	3.49996	0.104815	2.50667	3	0.999995	-4.50433	-1.75217	8.00428
1.42559e-06	0.0017	3.49996	0.105516	2.50667	3	0.999994	-4.50433	-1.75217	8.00428
1.50945e-06	0.0018	3.49996	0.105934	2.50667	3	0.999993	-4.50433	-1.75217	8.00428
1.59331e-06	0.0019	3.49996	0.106357	2.50667	3	0.999992	-4.50433	-1.75217	8.00428
1.67716e-06	0.002	3.49996	0.107036	2.50667	3	0.999991	-4.50433	-1.75217	8.00428
1.76102e-06	0.0021	3.49995	0.108266	2.50667	3	0.99999	-4.50433	-1.75217	8.00428
1.84488e-06	0.0022	3.49995	0.109255	2.50667	3	0.999989	-4.50433	-1.75217	8.00428
1.92874e-06	0.0023	3.49995	0.111528	2.50667	3	0.999988	-4.50433	-1.75217	8.00428
2.0126e-06	0.0024	3.49995	0.112307	2.50667	3	0.999987	-4.50433	-1.75217	8.00428
2.09646e-06	0.0025	3.49995	0.112773	2.50667	3	0.999986	-4.50433	-1.75217	8.00428
2.18031e-06	0.0026	3.49995	0.113236	2.50667	3	0.999984	-4.50433	-1.75217	8.00428
2.26417e-06	0.0027	3.49995	0.114667	2.50667	3	0.999983	-4.50433	-1.75218	8.00428
2.34803e-06	0.0028	3.49995	0.116274	2.50667	3	0.999982	-4.50434	-1.75218	8.00428
